invoice_no,customer_id,gender,age,category,quantity,price,payment_method,invoice_date
I117291,7gmz8m4qlw,Male,46,Books,5,75.75,Credit Card,2022-12-09
I267193,dm0mutoyjr,Female,19,Cosmetics,3,121.98,Credit Card,2023-01-12
I205366,4u3nu6so2b,Female,43,Clothing,4,1200.32,Debit Card,2022-11-07
I269690,i1sykxugd4,Male,18,Cosmetics,3,121.98,Debit Card,2022-02-07
I304265,cuympjj6ie,Female,22,Books,5,75.75,Debit Card,2021-06-13
I246562,kwmalse5ze,Female,61,Cosmetics,5,203.3,Cash,2021-08-23
I202367,xllnowsvm1,Female,41,Books,3,45.45,Cash,2023-02-24
I664787,eiaotzqssv,Female,53,Cosmetics,2,81.32,Credit Card,2023-01-12
I160777,msxgrpydmj,Female,43,Technology,4,4200.0,Cash,2022-02-22
I137794,soyeyds7tr,Female,45,Food & Beverage,3,15.69,Debit Card,2021-03-12
I148377,s2mvcqvty8,Female,29,Clothing,1,300.08,Cash,2022-01-02
I258195,piffbs9jif,Male,43,Toys,2,71.68,Cash,2021-11-26
I300213,xsz9svg2sg,Female,19,Clothing,4,1200.32,Credit Card,2021-04-21
I263803,74yku1ears,Female,67,Food & Beverage,3,15.69,Cash,2021-06-23
I335713,fji0e1zdhz,Female,36,Books,4,60.6,Cash,2021-12-14
I133061,q3meu1fabz,Male,64,Clothing,5,1500.4,Credit Card,2022-06-09
I207205,8inkxryxn3,Female,33,Clothing,1,300.08,Debit Card,2021-11-26
I209289,ptiqeqilce,Female,33,Clothing,4,1200.32,Credit Card,2021-02-05
I157285,fkvdavmhyc,Male,66,Clothing,4,1200.32,Cash,2022-03-06
I218590,scndqpaolc,Female,29,Cosmetics,4,162.64,Debit Card,2022-05-09
I181109,gqhwezuai5,Male,22,Toys,3,107.52,Cash,2022-10-17
I221715,1jtdfjj508,Female,63,Food & Beverage,3,15.69,Cash,2022-01-22
I204979,0j2fgycn0r,Female,24,Souvenir,5,58.65,Debit Card,2021-03-14
I115146,zkf51tgqjg,Female,24,Cosmetics,5,203.3,Cash,2022-04-27
I883721,jsarikat9m,Female,44,Technology,5,5250.0,Credit Card,2021-11-19
I402376,dzst4bmngs,Male,34,Shoes,5,3000.85,Cash,2022-09-10
I251356,ohctukmdby,Female,47,Cosmetics,4,162.64,Cash,2021-09-04
I292239,yt31zuthqt,Male,38,Food & Beverage,5,26.15,Cash,2022-08-21
I276526,icplm4dgqw,Female,57,Shoes,5,3000.85,Debit Card,2021-10-02
I260525,tx8gdl2buy,Male,67,Toys,3,107.52,Cash,2023-01-07
I870944,nu7yhea8lj,Male,41,Souvenir,3,35.19,Credit Card,2021-06-08
I739573,sp6ae3li0x,Female,40,Clothing,5,1500.4,Debit Card,2021-04-17
I115870,n00xhri3nq,Female,69,Shoes,4,2400.68,Cash,2021-09-04
I190444,9tc1qejonc,Female,47,Food & Beverage,5,26.15,Cash,2022-07-20
I309552,fuzlorjyjp,Female,53,Food & Beverage,4,20.92,Credit Card,2021-07-14
I306076,werfpfrpvn,Male,40,Toys,2,71.68,Cash,2022-11-01
I321683,ozkirptqvh,Male,60,Cosmetics,4,162.64,Credit Card,2023-01-06
I151332,v8j1ckbs9u,Male,30,Souvenir,2,23.46,Cash,2021-03-25
I340014,hosrsdsbdf,Female,66,Clothing,2,600.16,Credit Card,2022-09-08
I249424,5i2lah4gb5,Male,22,Food & Beverage,1,5.23,Cash,2022-02-18
I227716,jviszz7yuf,Male,53,Food & Beverage,2,10.46,Cash,2021-04-22
I140663,zp96a3rse8,Female,52,Clothing,5,1500.4,Cash,2022-10-15
I253242,ebmgna9vxr,Male,26,Shoes,5,3000.85,Cash,2022-04-07
I108359,eqrxjdgrct,Male,66,Food & Beverage,1,5.23,Cash,2022-06-07
I195567,uoyxw9r3lp,Male,65,Clothing,4,1200.32,Debit Card,2023-01-22
I289643,aijlddtuyk,Female,43,Technology,2,2100.0,Cash,2022-08-22
I722319,dmazs5bbzg,Female,59,Toys,1,35.84,Debit Card,2021-10-03
I317105,jlyicjsdxo,Female,30,Souvenir,5,58.65,Debit Card,2021-07-29
I215721,arur97iazj,Female,25,Cosmetics,2,81.32,Debit Card,2022-12-16
I154469,pa2cfqwgl8,Female,29,Toys,3,107.52,Debit Card,2021-06-03
I172458,xjcia0g5s6,Female,19,Clothing,2,600.16,Debit Card,2021-12-17
I297270,zoehwbnfnq,Male,62,Clothing,5,1500.4,Credit Card,2022-12-31
I153930,vexp5aspis,Male,39,Food & Beverage,3,15.69,Cash,2022-08-09
I282854,tit5omaq0v,Female,33,Clothing,3,900.24,Cash,2022-07-31
I869144,yryj4zdxng,Female,26,Food & Beverage,4,20.92,Debit Card,2021-05-04
I283443,ff3qvkqvvp,Male,43,Technology,3,3150.0,Credit Card,2022-05-25
I193271,hfb7ondqkc,Female,40,Food & Beverage,3,15.69,Debit Card,2022-12-23
I985478,4utzh5vtqf,Male,55,Clothing,4,1200.32,Credit Card,2023-01-24
I200392,bynolc7lgs,Female,24,Clothing,5,1500.4,Credit Card,2021-09-14
I256691,saan86ah8m,Male,24,Cosmetics,1,40.66,Cash,2022-02-04
I796162,3ntbvzjohh,Female,30,Food & Beverage,5,26.15,Credit Card,2022-01-06
I224371,neq0lg3ybh,Male,34,Clothing,5,1500.4,Credit Card,2022-02-01
I215998,jrwwu2ezgg,Female,64,Clothing,5,1500.4,Cash,2022-10-26
I338966,aivrfbez9q,Female,57,Clothing,5,1500.4,Cash,2022-09-21
I293215,gmfhkktymb,Male,18,Cosmetics,4,162.64,Credit Card,2021-12-12
I149688,iqo0xgai9v,Female,26,Clothing,4,1200.32,Cash,2021-08-21
I109649,rsfle0sad7,Female,19,Food & Beverage,3,15.69,Debit Card,2021-10-08
I299820,kfudmha4zr,Female,22,Books,3,45.45,Cash,2021-11-22
I157775,meqraequbt,Male,48,Clothing,1,300.08,Cash,2022-03-19
I317140,orrmh58fbm,Female,56,Souvenir,5,58.65,Cash,2022-10-19
I147334,odexv2xhja,Male,35,Clothing,2,600.16,Cash,2022-01-12
I278121,e94ieprqp8,Female,60,Toys,4,143.36,Debit Card,2021-06-07
I134452,vv1mw19xfa,Female,32,Clothing,1,300.08,Credit Card,2023-01-15
I320846,jviszz7yuf,Male,27,Clothing,4,1200.32,Credit Card,2021-11-11
I740676,z5ncsum0qn,Female,56,Clothing,2,600.16,Credit Card,2022-09-21
I142331,xi9ogrolom,Male,35,Cosmetics,4,162.64,Debit Card,2021-05-30
I222983,zw08wkxudm,Female,68,Clothing,1,300.08,Credit Card,2021-12-23
I164665,8ntemihnto,Female,64,Technology,2,2100.0,Cash,2022-04-30
I133387,v2cqc4bixy,Female,60,Toys,4,143.36,Cash,2021-06-07
I276763,x9kzvy36ro,Male,64,Toys,5,179.2,Debit Card,2022-02-21
I273890,dlkbwnsbyo,Female,41,Clothing,3,900.24,Debit Card,2021-08-26
I774221,mhsmxfn2oo,Male,30,Food & Beverage,5,26.15,Cash,2021-12-15
I202171,xvkpswlelm,Male,40,Clothing,1,300.08,Debit Card,2021-02-20
I219780,ou6xbx6erx,Female,29,Clothing,2,600.16,Cash,2021-10-08
I160221,nz2aksruu3,Male,25,Clothing,3,900.24,Cash,2022-08-01
I106691,tmemobism8,Female,60,Clothing,4,1200.32,Cash,2021-09-09
I129886,x5gtquw6ed,Female,42,Food & Beverage,5,26.15,Cash,2021-10-25
I745394,64fka1dcbz,Male,54,Food & Beverage,1,5.23,Cash,2021-12-14
I157056,n2v04pvchy,Female,50,Clothing,5,1500.4,Cash,2021-06-20
I304531,wxcphncuco,Male,54,Clothing,1,300.08,Debit Card,2021-04-07
I762439,3a3m1mtxwm,Female,45,Books,4,60.6,Cash,2021-12-05
I300972,xrqtm2k5zl,Female,40,Cosmetics,1,40.66,Credit Card,2021-05-25
I151588,gk18ygqizm,Male,24,Books,3,45.45,Credit Card,2022-04-12
I657069,83yabtz0o8,Male,40,Clothing,4,1200.32,Cash,2021-12-16
I122655,hdts1qzjjk,Female,32,Technology,2,2100.0,Credit Card,2021-02-21
I236914,nmmmxpadge,Female,28,Clothing,3,900.24,Cash,2021-10-26
I247471,hkrrmojfxu,Female,22,Toys,1,35.84,Cash,2022-12-18
I362306,km4iud01jh,Female,21,Clothing,1,300.08,Credit Card,2022-09-19
I215279,arojmfsbmc,Female,31,Clothing,2,600.16,Credit Card,2023-02-01
I216061,l81kqcle7f,Female,61,Food & Beverage,3,15.69,Credit Card,2022-10-05
I246375,8yprusokki,Female,67,Cosmetics,2,81.32,Cash,2021-11-28
I103596,eigbkwsk9g,Male,52,Shoes,5,3000.85,Cash,2021-08-03
I259878,prjpdfaxvh,Male,44,Clothing,4,1200.32,Credit Card,2022-10-12
I206422,poapjdidey,Female,48,Food & Beverage,2,10.46,Credit Card,2022-09-28
I201704,lkg8wbimal,Female,53,Food & Beverage,3,15.69,Cash,2021-07-12
I168037,ooeizwykfv,Male,27,Toys,4,143.36,Cash,2021-07-03
I307534,mkbjf499gp,Female,28,Cosmetics,4,162.64,Cash,2022-03-26
I259196,ebk6dnxspr,Female,43,Toys,4,143.36,Credit Card,2022-05-17
I141241,1db3pq6oyv,Male,54,Souvenir,5,58.65,Credit Card,2022-04-11
I289973,7xskn3wng5,Male,41,Food & Beverage,5,26.15,Credit Card,2021-10-22
I147203,kxinege2vd,Female,59,Cosmetics,5,203.3,Cash,2021-12-20
I323788,z74goowfsa,Female,32,Clothing,1,300.08,Credit Card,2022-03-17
I285454,um7c3ml8c5,Female,41,Souvenir,5,58.65,Credit Card,2022-06-23
I288152,882ba0ibye,Female,30,Technology,3,3150.0,Debit Card,2021-06-19
I134126,n9dzzgyktw,Male,22,Clothing,1,300.08,Debit Card,2022-08-30
I311052,mgcnrwl6js,Female,51,Clothing,4,1200.32,Cash,2021-11-20
I176469,gbwwstfvld,Female,23,Food & Beverage,2,10.46,Credit Card,2021-07-31
I167993,ouxbdxl48w,Male,40,Toys,2,71.68,Cash,2022-02-20
I222086,vq0yc7kotw,Male,37,Clothing,5,1500.4,Cash,2023-02-09
I164597,jdw3altuzj,Female,24,Clothing,1,300.08,Cash,2021-03-24
I184307,ocf4bsmffl,Male,22,Food & Beverage,1,5.23,Credit Card,2022-08-25
I289905,anjdtjhf1s,Female,61,Cosmetics,4,162.64,Cash,2021-10-21
I416544,4vmkkyjdef,Female,25,Food & Beverage,2,10.46,Credit Card,2022-05-28
I601026,bk5jvwsrug,Female,66,Souvenir,5,58.65,Credit Card,2022-03-05
I257890,zzshm5c3gi,Female,59,Shoes,1,600.17,Cash,2021-10-05
I260028,m6e3m2tnsu,Male,38,Clothing,4,1200.32,Cash,2021-04-16
I170160,xowe9bir3v,Male,34,Toys,2,71.68,Debit Card,2023-02-26
I624164,su05merojs,Female,26,Clothing,1,300.08,Cash,2021-03-20
I143353,louzlvzdxv,Female,59,Souvenir,5,58.65,Cash,2022-05-15
I278401,tugqhe6iqw,Female,53,Toys,1,35.84,Debit Card,2023-01-31
I402966,rvbmzyyxuh,Male,23,Cosmetics,4,162.64,Debit Card,2021-10-02
I244241,fmumxhxdrm,Female,23,Clothing,5,1500.4,Credit Card,2022-08-03
I179048,v1ujik29tb,Female,66,Technology,3,3150.0,Debit Card,2021-03-28
I165202,fj0mv6zxqb,Female,56,Cosmetics,4,162.64,Cash,2022-11-21
I328321,ozmh00axs9,Female,38,Souvenir,2,23.46,Credit Card,2021-02-12
I417106,abzozcbjxo,Male,28,Clothing,3,900.24,Cash,2021-04-03
I248153,elsok4cndt,Female,44,Food & Beverage,1,5.23,Cash,2022-07-03
I112270,vnzt5as8am,Female,26,Food & Beverage,4,20.92,Cash,2021-02-14
I318831,ev3p8ropcp,Female,41,Cosmetics,4,162.64,Credit Card,2022-07-15
I258322,evtlfsugyc,Male,50,Clothing,4,1200.32,Cash,2021-07-12
I334246,z9u4cvxwrt,Female,23,Cosmetics,3,121.98,Cash,2022-05-19
I198233,hpm8v0siq6,Female,31,Cosmetics,4,162.64,Cash,2023-02-13
I310819,uyonywjwxu,Male,26,Cosmetics,5,203.3,Credit Card,2022-11-27
I409288,8mzlfjneaf,Female,56,Food & Beverage,3,15.69,Cash,2021-03-02
I131054,i1bks6q6rd,Female,34,Toys,4,143.36,Cash,2021-10-16
I149521,81uasotli3,Female,29,Clothing,2,600.16,Cash,2021-11-04
I156233,fvrxepta2p,Female,20,Clothing,1,300.08,Credit Card,2023-01-11
I295784,4lqlisq5jn,Female,54,Cosmetics,3,121.98,Credit Card,2022-06-08
I255381,brto0unc3j,Male,40,Clothing,4,1200.32,Debit Card,2021-05-24
I337719,yjjzlufmxe,Male,40,Cosmetics,5,203.3,Cash,2021-01-18
I220863,tlcpbtok8o,Male,21,Books,4,60.6,Cash,2021-07-22
I530401,wys9cdl1no,Female,32,Technology,2,2100.0,Cash,2022-09-25
I219555,ywclhw4lr0,Male,47,Clothing,3,900.24,Credit Card,2021-09-10
I316629,timj17slo6,Female,41,Souvenir,3,35.19,Cash,2022-01-16
I795251,ks7jivxlkt,Male,33,Cosmetics,5,203.3,Cash,2022-11-13
I151099,tk7i44ecjp,Female,67,Souvenir,2,23.46,Credit Card,2021-03-14
I286193,lftz5jay6q,Male,37,Cosmetics,3,121.98,Cash,2022-07-23
I399563,mhauhaqinl,Female,38,Toys,1,35.84,Cash,2021-06-24
I229355,klstlvo7lx,Male,28,Shoes,5,3000.85,Credit Card,2021-01-30
I147727,toswlrj9qy,Female,38,Books,1,15.15,Credit Card,2022-04-17
I504141,ezcd3r05tp,Female,56,Cosmetics,1,40.66,Credit Card,2023-02-23
I246151,ismsmacbej,Male,25,Books,3,45.45,Debit Card,2021-07-05
I164675,rdh6vuy4dn,Male,66,Books,5,75.75,Cash,2021-08-31
I606511,lcrkqjsd9o,Female,37,Souvenir,2,23.46,Credit Card,2022-09-09
I342816,mieuemkfzp,Female,19,Food & Beverage,2,10.46,Cash,2021-11-04
I151764,rlkaz5uvwd,Female,53,Clothing,5,1500.4,Cash,2022-06-30
I226172,ih5tk31dvg,Female,69,Shoes,1,600.17,Cash,2021-07-24
I737630,odzwy5ehof,Male,69,Clothing,5,1500.4,Cash,2022-04-15
I891311,gfwgw6puz5,Female,31,Food & Beverage,2,10.46,Debit Card,2021-09-25
I127733,hmj33oludx,Male,39,Books,5,75.75,Cash,2021-08-24
I202398,zhmccqtoyc,Male,53,Shoes,5,3000.85,Cash,2021-01-26
I160585,fo3npxmipn,Male,26,Cosmetics,2,81.32,Cash,2022-02-05
I771414,3ycq9v2twr,Male,63,Food & Beverage,3,15.69,Cash,2022-12-09
I139520,0gwskifxy6,Female,34,Clothing,5,1500.4,Cash,2021-02-14
I291540,2p6f6nkk0a,Male,25,Food & Beverage,1,5.23,Debit Card,2022-07-17
I798213,yuzy46hptc,Female,20,Shoes,3,1800.51,Cash,2021-01-03
I232338,rejwnidqvy,Female,18,Clothing,4,1200.32,Debit Card,2022-09-22
I267713,tsot7pv3kw,Male,53,Cosmetics,4,162.64,Credit Card,2021-06-27
I525798,it29gbiilg,Male,46,Cosmetics,4,162.64,Cash,2023-02-03
I353272,236tipxad7,Female,34,Clothing,1,300.08,Credit Card,2021-07-29
I165687,sgh8jw9kbe,Female,61,Clothing,3,900.24,Cash,2022-12-08
I169015,nbqmb7wrsf,Female,38,Clothing,5,1500.4,Credit Card,2022-08-11
I111305,zkgsk5p6ap,Female,67,Food & Beverage,3,15.69,Cash,2021-09-13
I187171,dnmwi8hwvh,Male,33,Toys,4,143.36,Credit Card,2022-05-27
I148276,waatpcvylg,Female,63,Clothing,4,1200.32,Debit Card,2022-12-07
I783231,scxrd2tuuj,Female,21,Clothing,5,1500.4,Debit Card,2022-01-05
I313426,dgrgnsnnq3,Female,41,Cosmetics,4,162.64,Debit Card,2022-04-05
I112291,rpaje3cgyf,Female,48,Food & Beverage,1,5.23,Credit Card,2022-01-10
I402983,ydkvngxlnx,Male,27,Technology,1,1050.0,Debit Card,2022-01-30
I155076,noupvtzrgq,Female,22,Toys,5,179.2,Credit Card,2022-12-21
I204056,kvfblwtvwp,Female,54,Clothing,4,1200.32,Credit Card,2021-02-24
I218385,y9oxgnhf7h,Female,51,Toys,1,35.84,Cash,2022-07-19
I198698,h1xflwht4x,Female,29,Clothing,1,300.08,Debit Card,2023-01-15
I428118,r9qd7e6slw,Female,44,Shoes,2,1200.34,Credit Card,2023-01-12
I204147,8o5y7xb389,Female,20,Shoes,3,1800.51,Credit Card,2022-11-05
I361028,hgldjafjmi,Female,59,Shoes,2,1200.34,Cash,2021-07-23
I915945,zmwgjdv3f5,Female,23,Clothing,4,1200.32,Credit Card,2022-06-30
I165461,qm4tjmcbhs,Female,25,Clothing,1,300.08,Credit Card,2022-11-01
I762381,uijrgcobts,Male,63,Shoes,1,600.17,Cash,2022-10-27
I818298,agzgsf7n3m,Male,21,Clothing,5,1500.4,Debit Card,2022-08-21
I261290,j0nqzeajha,Female,56,Clothing,3,900.24,Credit Card,2021-03-13
I215578,v3upo68bzo,Male,39,Cosmetics,2,81.32,Credit Card,2022-08-04
I136666,2hyupcdeeq,Male,50,Food & Beverage,2,10.46,Credit Card,2021-04-01
I120948,umetb9sadz,Female,54,Shoes,4,2400.68,Debit Card,2021-08-08
I173679,udozq0sxph,Male,27,Technology,3,3150.0,Credit Card,2021-06-28
I638275,fakmvk7nf4,Male,56,Clothing,5,1500.4,Credit Card,2021-01-25
I551237,0bly8dvl1v,Female,53,Clothing,4,1200.32,Cash,2021-11-22
I239285,vcezonvt86,Female,62,Cosmetics,3,121.98,Credit Card,2022-11-13
I723062,vavk8hm16e,Female,42,Clothing,4,1200.32,Credit Card,2022-08-12
I353329,hsrzqxbz6x,Female,68,Toys,2,71.68,Credit Card,2022-09-18
I321920,lu2nju5vep,Male,27,Clothing,4,1200.32,Cash,2021-06-08
I176115,lpgk5fyhfa,Male,39,Cosmetics,4,162.64,Cash,2021-08-30
I251743,ygrsvnnonv,Male,44,Toys,3,107.52,Debit Card,2022-06-19
I964173,xkasocl95t,Female,52,Clothing,3,900.24,Debit Card,2022-12-15
I334389,mj3kqvra6n,Female,19,Cosmetics,2,81.32,Cash,2021-12-29
I251855,un5xahxhhy,Female,68,Cosmetics,3,121.98,Credit Card,2022-06-19
I985808,vzn4eewo0m,Male,22,Books,5,75.75,Cash,2021-06-16
I224565,x7ism1llie,Male,61,Shoes,1,600.17,Cash,2021-02-07
I239703,oponj4w9qh,Male,23,Food & Beverage,3,15.69,Credit Card,2023-01-17
I156413,yjbj3ytvnt,Male,34,Cosmetics,5,203.3,Debit Card,2022-01-20
I158683,d3impxqhkz,Female,33,Souvenir,2,23.46,Debit Card,2022-07-31
I983860,ubom6l6l4j,Female,60,Shoes,1,600.17,Credit Card,2021-09-30
I119809,od51sxxi2c,Female,24,Food & Beverage,1,5.23,Debit Card,2022-04-06
I319942,tiiogpntmq,Male,53,Cosmetics,5,203.3,Debit Card,2022-11-14
I133278,trlm5d0jgu,Male,22,Clothing,3,900.24,Credit Card,2021-02-24
I252084,1utrjr8tjd,Male,50,Souvenir,4,46.92,Cash,2021-05-25
I182889,unobchh4tj,Male,49,Clothing,2,600.16,Credit Card,2021-03-22
I106271,xam5qp4wfq,Male,31,Clothing,1,300.08,Debit Card,2022-12-22
I112481,xw35ubcmgb,Male,29,Food & Beverage,5,26.15,Cash,2021-07-07
I240751,dpuaopemt5,Female,52,Food & Beverage,1,5.23,Credit Card,2021-09-18
I282789,unjp1akr8g,Female,67,Cosmetics,2,81.32,Cash,2022-02-18
I676291,ptzp1ri11r,Female,50,Food & Beverage,2,10.46,Cash,2021-06-13
I827069,evtcrwnr4h,Female,58,Toys,5,179.2,Cash,2021-05-30
I242823,opzaxdsegv,Female,50,Clothing,4,1200.32,Debit Card,2021-03-26
I208631,xsolgfazu2,Female,68,Technology,2,2100.0,Credit Card,2022-07-27
I139308,xyoybm8pus,Female,59,Souvenir,2,23.46,Credit Card,2022-04-06
I177201,3ngvlqalgd,Female,66,Clothing,5,1500.4,Cash,2022-02-04
I263818,km8udyviqc,Male,69,Souvenir,4,46.92,Cash,2022-06-26
I174966,kdjvktqlan,Male,27,Food & Beverage,5,26.15,Cash,2022-07-25
I186896,fujxcwjtf8,Female,52,Toys,1,35.84,Credit Card,2021-09-19
I207465,c9fky7ykbr,Female,27,Clothing,2,600.16,Cash,2022-10-10
I191148,zjhojixthf,Female,43,Technology,2,2100.0,Credit Card,2022-03-29
I159487,trtlzbreus,Male,36,Clothing,1,300.08,Cash,2021-07-09
I215141,cfgq70f54r,Female,19,Souvenir,1,11.73,Cash,2022-01-25
I235828,2zxz8eblit,Male,21,Books,5,75.75,Cash,2021-12-14
I281274,u0clsbwxbe,Male,20,Clothing,1,300.08,Cash,2022-09-04
I135898,0pboi1myzy,Female,23,Toys,2,71.68,Debit Card,2022-08-14
I943072,g9rxzrgeef,Female,52,Cosmetics,2,81.32,Cash,2022-02-03
I142738,9eezxa8noz,Male,24,Clothing,4,1200.32,Credit Card,2021-01-03
I304665,abecbairaw,Female,20,Food & Beverage,5,26.15,Credit Card,2021-12-05
I133240,5lfeaqvlkx,Male,58,Toys,3,107.52,Credit Card,2022-06-14
I215906,zkzpqfbn5y,Male,21,Clothing,4,1200.32,Debit Card,2021-08-13
I247747,s1pbozqmkh,Male,35,Shoes,2,1200.34,Cash,2022-01-11
I227154,buztje8xtx,Female,29,Cosmetics,3,121.98,Cash,2021-12-22
I133197,zzit0ddmak,Male,68,Cosmetics,2,81.32,Credit Card,2021-02-04
I542618,604r19yz2h,Female,50,Cosmetics,3,121.98,Debit Card,2022-02-22
I522612,wwpuihhzev,Female,44,Toys,3,107.52,Cash,2021-09-14
I336817,8frwe5mug0,Female,47,Clothing,1,300.08,Cash,2021-08-03
I216982,ac6lb3nmbf,Female,48,Souvenir,4,46.92,Cash,2023-01-02
I317443,o9x6daiqnj,Female,39,Toys,1,35.84,Credit Card,2022-11-23
I115679,nmtify7zxm,Male,27,Clothing,1,300.08,Cash,2023-01-10
I227707,2efe5hipeu,Female,34,Shoes,4,2400.68,Cash,2022-01-10
I238456,3o2ison2m1,Female,65,Food & Beverage,1,5.23,Cash,2022-08-06
I940840,rzjol4blmd,Female,53,Cosmetics,2,81.32,Cash,2023-02-19
I298805,2ycw0e0wwi,Female,19,Food & Beverage,3,15.69,Credit Card,2021-06-29
I169894,li0tdfj257,Female,19,Clothing,2,600.16,Cash,2021-07-01
I183571,0pkbh1zz7x,Female,31,Food & Beverage,1,5.23,Credit Card,2022-02-07
I921232,big7qfjf74,Female,43,Toys,2,71.68,Cash,2021-10-10
I130799,1hi8bgivti,Male,42,Clothing,3,900.24,Credit Card,2021-06-30
I199384,8br17uic4x,Male,58,Books,4,60.6,Credit Card,2022-03-24
I300557,mfdrfzr7r6,Female,34,Cosmetics,3,121.98,Debit Card,2022-09-17
I162186,2ijo7mkiwd,Female,32,Cosmetics,2,81.32,Debit Card,2021-07-31
I299125,sjrcwvysmh,Male,27,Souvenir,4,46.92,Credit Card,2022-11-21
I720017,gpyjzq4n2j,Female,28,Food & Beverage,2,10.46,Credit Card,2022-09-04
I293086,cjyfxtpfli,Male,55,Cosmetics,3,121.98,Credit Card,2021-02-18
I995407,hjjuilokvx,Female,48,Souvenir,3,35.19,Cash,2021-03-21
I306845,obwn8ap3t3,Female,46,Food & Beverage,4,20.92,Credit Card,2022-09-02
I274190,9tvcqanzul,Female,20,Toys,3,107.52,Cash,2021-06-16
I305432,s8dhwluv0w,Male,39,Toys,3,107.52,Credit Card,2023-01-26
I224122,rwtfyacmaj,Male,44,Clothing,5,1500.4,Credit Card,2022-07-01
I119142,hu1pdzlgil,Female,35,Cosmetics,5,203.3,Debit Card,2023-01-25
I117526,h6ygy76zjr,Male,48,Cosmetics,5,203.3,Credit Card,2022-09-23
I195735,ajsgpzviu5,Female,22,Clothing,1,300.08,Credit Card,2021-09-08
